prediction,ground_truth,diff_ops
 Hthikent ds Bualtle Asgidt,deutlich auf den Punkt. Die Adressaten sind,"[('insert', 0, 0, 0, 8), ('replace', 1, 6, 9, 14), ('insert', 8, 8, 16, 21), ('insert', 9, 9, 22, 23), ('replace', 10, 19, 24, 26), ('insert', 22, 22, 29, 32), ('replace', 23, 24, 33, 40), ('insert', 25, 25, 41, 42), ('delete', 26, 27, 43, 43)]"
 thekemadealtintegprund deahaabadea t,"- Sie kennen den Hintergrund, denken aber, dass","[('insert', 0, 0, 0, 1), ('replace', 1, 3, 2, 4), ('insert', 4, 4, 5, 6), ('replace', 6, 8, 8, 13), ('replace', 10, 13, 15, 18), ('insert', 17, 17, 22, 23), ('delete', 18, 19, 24, 24), ('insert', 23, 23, 28, 29), ('replace', 26, 29, 32, 37), ('insert', 31, 31, 39, 44), ('replace', 32, 37, 45, 47)]"
"- In Deatechland in NPew """,- In Deutschland in NRW,"[('replace', 7, 8, 7, 8), ('replace', 9, 10, 9, 10), ('replace', 21, 26, 21, 23)]"
"Anodtische smitte  T T'd """,Analytische Schritte,"[('replace', 2, 4, 2, 5), ('replace', 11, 13, 12, 16), ('delete', 17, 26, 20, 20)]"
Knmbecal  RDOsFellur oodaebelt T,einander ab. Die Vorstellung ist das Objekt,"[('replace', 0, 1, 0, 2), ('replace', 2, 3, 3, 10), ('insert', 4, 4, 11, 15), ('delete', 5, 8, 16, 16), ('replace', 9, 13, 17, 20), ('replace', 14, 15, 21, 22), ('replace', 19, 20, 26, 28), ('replace', 21, 23, 29, 33), ('insert', 25, 25, 35, 40), ('replace', 26, 29, 41, 42), ('delete', 30, 32, 43, 43)]"
aiaben   rt,Variablen,"[('insert', 0, 0, 0, 1), ('insert', 1, 1, 2, 3), ('insert', 4, 4, 6, 7), ('delete', 6, 11, 9, 9)]"
- Beurteiling jeines ! Kauts,- Beurteilung eines Kaufs,"[('replace', 10, 11, 10, 11), ('delete', 14, 15, 14, 14), ('delete', 21, 23, 20, 20), ('replace', 26, 27, 23, 24)]"
-specifzert einen Ausschitt and dem Verhatten einer Klasse,- spezifiziert einen Ausschnitt aus dem Verhalten einer Klasse,"[('insert', 1, 1, 1, 2), ('replace', 4, 5, 5, 6), ('insert', 7, 7, 8, 9), ('insert', 8, 8, 10, 11), ('insert', 24, 24, 27, 28), ('replace', 29, 31, 33, 35), ('replace', 41, 42, 45, 46)]"
- Persistierung twol : File oder Datenbank oder. ...,- Persistierung (wo) : File oder Datenbank oder...,"[('replace', 16, 17, 16, 17), ('replace', 19, 20, 19, 20), ('delete', 48, 49, 48, 48), ('delete', 51, 52, 50, 50)]"
 tiestessein und jeder tinseelammante t,niertes sein und jeder Mensch kann auch,"[('replace', 0, 2, 0, 1), ('replace', 4, 5, 3, 4), ('insert', 8, 8, 7, 8), ('replace', 23, 25, 23, 25), ('replace', 27, 33, 27, 31), ('replace', 35, 37, 33, 34), ('replace', 38, 39, 35, 39)]"
